date,value
2020-12-24,46823.43045040911
2020-12-25,47933.01215875201
2020-12-26,48745.1250286763
2020-12-27,52390.45652672632
2020-12-28,55854.553796742366
2020-12-29,55976.141316815774
2020-12-30,57518.544008564655
2020-12-31,56314.13932859217
2021-01-01,55739.84858912594
2021-01-02,59230.71040758582
2021-01-03,74809.20700466467
2021-01-04,79638.2962453162
2021-01-05,84083.50539114475
2021-01-06,92408.04465856083
2021-01-07,93665.97843542096
2021-01-08,93058.80553643801
2021-01-09,97575.89661237286
2021-01-10,95912.67110193468
2021-01-11,83123.80515408731
2021-01-12,80305.8805536438
2021-01-13,86402.84468914889
2021-01-14,94182.15186969488
2021-01-15,89357.650837348
2021-01-16,93892.33004511737
2021-01-17,94245.62208457598
2021-01-18,96233.84568326069
2021-01-19,104409.2681807754
2021-01-20,105298.61589049477
2021-01-21,84955.2649690296
2021-01-22,94258.62200810581
2021-01-23,94333.56274374855
2021-01-24,106485.4324386327
2021-01-25,100778.46600902347
2021-01-26,104455.91496520607
2021-01-27,94748.79559532003
2021-01-28,101681.5783436568
2021-01-29,105490.55593790625
2021-01-30,105379.67423721035
2021-01-31,100370.8801712931
2021-02-01,105082.97010017588
2021-02-02,115612.90815936375
2021-02-03,127283.78068364302
2021-02-04,122021.10575820142
2021-02-05,131466.69725472204
2021-02-06,128190.71652519688
2021-02-07,123240.80446585607
2021-02-08,133834.21273992505
2021-02-09,135285.6159669649
2021-02-10,133117.68754301444
2021-02-11,136546.60854936144
2021-02-12,140724.9369121358
2021-02-13,138790.24241033875
2021-02-14,137678.36659784353
2021-02-15,136059.4937676837
2021-02-16,136269.02194692972
2021-02-17,141460.57964364917
2021-02-18,148322.24516326372
2021-02-19,149499.12059340827
2021-02-20,146287.37478014833
2021-02-21,147857.30672172515
2021-02-22,135931.7886365374
2021-02-23,120661.46669725471
2021-02-24,124140.85799495297
2021-02-25,113309.62759042594
2021-02-26,110467.99724707499
2021-02-27,111503.40292115927
2021-02-28,108524.89103005276
