timestamp,open,high,low,close,volume
2022-01-07,30.59,32.58,27.01,30.23,6610521.36
2022-01-08,30.23,33.93,30.1,32.92,6486311.4
2022-01-09,32.93,37.34,32.79,36.15,7465611.75
2022-01-10,36.15,37.79,32.18,34.31,7633781.26
2022-01-11,34.31,37.04,33.59,34.43,4669598.51
2022-01-12,34.44,35.93,32.61,34.99,4020960.88
2022-01-13,35.01,35.1,31.21,31.38,3412062.5
2022-01-14,31.37,33.1,31.05,32.51,2738731.62
2022-01-15,32.52,33.98,31.75,32.55,1793177.97
2022-01-16,32.54,33.12,30.5,31.15,2280546.3
2022-01-17,31.15,31.33,28.62,29.64,2128974.21
2022-01-18,29.64,31.72,28.17,29.37,2650416.27
2022-01-19,29.36,29.61,26.15,26.52,3169788.58
2022-01-20,26.52,28.6,24.73,24.98,3457397.27
2022-01-21,24.97,25.51,22.33,24.2,5637216.13
2022-01-22,24.19,25.32,18.06,20.55,7004823.96
2022-01-23,20.55,22.15,20.06,21.28,2884048.69
2022-01-24,21.27,21.93,18.41,20.72,5239948.01
2022-01-25,20.71,21.38,19.64,20.05,3125636.66
2022-01-26,20.05,21.83,19.64,19.81,4685235.32
2022-01-27,19.81,20.06,18.49,19.59,4156184.15
2022-01-28,19.58,20.68,18.92,20.3,2661238.53
2022-01-29,20.29,21.36,20.02,20.17,2626370.87
2022-01-30,20.17,20.47,18.85,19.23,3487582.59
2022-01-31,19.25,20.05,18.51,19.8,2481805.31
2022-02-01,19.82,20.54,19.66,20.16,2040984.79
2022-02-02,20.15,22.33,19.92,21.59,4903533.26
2022-02-03,21.59,22.09,20.02,20.79,3142538.7
2022-02-04,20.78,22.39,20.42,22.26,2992379.58
2022-02-05,22.26,23.15,21.88,22.24,2243539.81
2022-02-06,22.24,24.26,22.23,23.36,2585085.23
2022-02-07,23.36,24.45,22.74,24.02,2982348.34
2022-02-08,24.03,24.68,22.26,23.0,2983415.84
2022-02-09,23.0,23.41,22.43,23.07,1845107.26
2022-02-10,23.07,23.22,21.41,21.57,2696892.96
2022-02-11,21.58,22.06,19.35,19.82,2518576.08
2022-02-12,19.82,20.56,19.02,20.04,1894845.88
2022-02-13,20.06,20.83,19.5,19.75,1280652.9
2022-02-14,19.74,21.28,19.15,20.73,2374343.85
2022-02-15,20.73,21.87,20.57,21.77,1927989.93
2022-02-16,21.78,22.54,20.71,22.08,2316735.87
2022-02-17,22.06,22.43,19.55,19.85,2491602.25
2022-02-18,19.85,20.39,19.14,19.62,1822980.24
2022-02-19,19.62,20.47,19.15,20.0,1374776.89
2022-02-20,19.99,20.04,18.26,18.7,2056059.55
2022-02-21,18.71,19.46,17.66,17.77,3079630.2
2022-02-22,17.77,18.18,16.81,17.92,2862552.87
2022-02-23,17.91,18.58,17.11,17.31,2449889.37
2022-02-24,17.31,17.49,14.68,16.6,5012137.89
2022-02-25,16.6,17.98,16.34,17.67,2298309.02
2022-02-26,17.66,18.25,17.37,17.74,1462407.54
2022-02-27,17.73,18.79,16.86,17.23,2237182.36
2022-02-28,17.23,20.22,16.92,20.13,2697808.89
2022-03-01,20.13,20.48,19.07,19.36,2757349.89
2022-03-02,19.36,19.84,18.82,19.31,2208516.66
2022-03-03,19.31,20.77,18.86,19.97,3215167.52
2022-03-04,19.97,19.99,17.32,17.61,2451670.15
2022-03-05,17.62,17.91,16.81,17.67,1694014.38
2022-03-06,17.66,17.78,16.57,16.62,1552560.07
2022-03-07,16.62,17.32,15.83,16.42,2294671.51
2022-03-08,16.41,17.13,16.3,16.86,1374117.41
2022-03-09,16.86,17.94,16.73,17.46,1804423.82
2022-03-10,17.46,17.54,16.06,16.6,1589287.7
2022-03-11,16.6,16.95,15.94,16.0,1518591.45
2022-03-12,16.0,16.64,16.0,16.07,959635.98
2022-03-13,16.07,16.44,15.43,15.75,1113284.72
2022-03-14,15.75,16.21,15.58,16.16,1193114.49
2022-03-15,16.15,16.44,15.34,15.84,1636083.76
2022-03-16,15.84,16.49,15.58,16.48,2499951.31
2022-03-17,16.48,17.22,16.28,16.56,2108735.15
2022-03-18,16.57,17.08,16.15,16.89,1747932.32
2022-03-19,16.89,17.68,16.77,17.59,2120020.52
2022-03-20,17.6,17.76,16.61,16.78,1547786.1
2022-03-21,16.77,17.19,16.24,16.95,1590927.14
2022-03-22,16.94,18.45,16.79,18.02,2567432.1
2022-03-23,18.03,19.55,17.73,18.96,3829288.11
2022-03-24,18.96,19.84,18.66,19.41,2187262.1
2022-03-25,19.41,20.05,18.61,18.75,1988555.35
2022-03-26,18.74,19.61,18.56,19.41,1126410.59
2022-03-27,19.41,22.0,18.95,21.9,3451070.17
2022-03-28,21.9,23.5,21.14,21.76,4504175.38
2022-03-29,21.76,23.29,21.36,22.12,3437982.65
2022-03-30,22.12,22.45,21.11,21.81,2239762.94
2022-03-31,21.82,23.33,20.22,20.99,3687837.61
2022-04-01,20.98,21.85,20.0,21.61,2463654.16
2022-04-02,21.61,22.54,20.91,21.01,2479313.62
2022-04-03,21.01,22.83,20.62,22.66,1963367.09
2022-04-04,22.65,23.52,20.75,21.89,3945185.63
2022-04-05,21.89,22.85,20.86,21.04,2578017.56
2022-04-06,21.04,21.16,18.58,18.73,3020079.01
2022-04-07,18.73,19.5,18.33,19.29,1666335.47
2022-04-08,19.29,19.6,17.76,18.0,2547059.06
2022-04-09,18.0,18.45,17.79,18.39,1350432.84
2022-04-10,18.39,18.45,17.25,17.34,1581502.66
2022-04-11,17.34,17.52,15.6,16.1,2513416.61
2022-04-12,16.09,17.06,15.99,16.59,1687107.97
2022-04-13,16.59,17.15,16.18,16.97,1418895.65
2022-04-14,16.98,17.32,16.12,16.49,1323641.25
2022-04-15,16.49,16.97,16.37,16.8,983962.92
2022-04-16,16.81,17.77,16.52,17.56,1367949.31
2022-04-17,17.55,17.91,16.29,16.41,1877443.56
2022-04-18,16.42,17.14,15.71,16.99,2006974.4
2022-04-19,16.99,17.72,16.79,17.43,1372179.84
2022-04-20,17.42,17.85,16.73,17.09,1534800.39
2022-04-21,17.09,17.78,16.14,16.46,1604669.7
2022-04-22,16.46,17.0,16.24,16.59,1258930.12
2022-04-23,16.59,17.19,16.39,16.47,1112091.06
2022-04-24,16.47,16.69,16.02,16.21,1044827.61
2022-04-25,16.21,16.25,15.0,16.14,2249547.91
2022-04-26,16.15,16.4,14.53,14.99,1762008.21
2022-04-27,15.0,15.61,14.75,15.3,1321705.27
2022-04-28,15.3,15.56,14.91,15.11,1479679.45
2022-04-29,15.11,15.25,13.66,14.16,1823631.89
2022-04-30,14.15,14.36,11.28,12.4,3231765.78
2022-05-01,12.4,13.38,12.15,13.05,2900757.37
2022-05-02,13.04,13.23,12.34,12.94,1839082.29
2022-05-03,12.94,13.55,12.53,12.81,1755132.47
2022-05-04,12.81,14.42,12.77,14.28,2051576.21
2022-05-05,14.28,14.6,12.23,12.71,3463053.47
2022-05-06,12.7,12.8,12.2,12.45,1986381.29
2022-05-07,12.45,12.54,11.65,12.05,1413086.58
2022-05-08,12.06,12.31,11.69,11.9,1917819.61
2022-05-09,11.9,12.16,9.81,9.91,5164415.25
2022-05-10,9.91,11.62,9.62,10.56,5780804.23
2022-05-11,10.56,10.85,7.01,7.45,8500220.28
2022-05-12,7.46,8.05,6.03,7.22,7559999.84
2022-05-13,7.23,10.4,7.08,9.3,6842143.17
2022-05-14,9.3,9.47,7.65,8.54,3290672.68
2022-05-15,8.53,9.25,8.05,9.23,2672848.31
2022-05-16,9.24,9.24,8.0,8.11,2475500.45
2022-05-17,8.12,8.72,8.09,8.62,2018635.34
2022-05-18,8.62,8.76,7.45,7.51,2371585.92
2022-05-19,7.51,8.33,7.3,8.19,1977946.08
2022-05-20,8.2,8.46,7.54,7.77,2514395.68
2022-05-21,7.77,8.25,7.59,8.0,1232048.77
2022-05-22,8.0,8.37,7.85,8.22,1614046.04
2022-05-23,8.23,8.86,7.55,7.77,3107087.13
2022-05-24,7.76,7.93,7.33,7.92,2213890.83
2022-05-25,7.92,8.06,7.6,7.79,1668717.8
2022-05-26,7.79,7.92,6.95,7.3,2383898.96
2022-05-27,7.3,7.51,6.82,6.97,2789660.91
2022-05-28,6.97,7.44,6.75,7.24,1620894.88
2022-05-29,7.24,7.42,6.97,7.12,1993155.82
